ts,customer_id,card_hash,card_bin,card_type,device_id,ip,email,email_domain,amount,category,channel,billing_country,shipping_country,account_age_days,is_fraud,is_chargeback,fraud_pattern,log_amount,hour,day_of_week,is_night,category_risk,channel_risk,card_type_risk,is_international,billing_shipping_mismatch,email_domain_risk,bin_risk,is_new_account,amount_to_avg_ratio,card_txn_count,velocity_card_1h,velocity_card_24h,velocity_device_1h,velocity_device_24h,velocity_ip_1h,distinct_cards_device_24h,distinct_emails_device_24h,time_since_last_txn_hrs,txn_ref
2026-07-31 12:55:00,mule_173485,ring_650528053,402100,debit,dev_ring_66796,45.24.67.223,acct91821@rediffmail.com,rediffmail.com,3284.39,electronics,mobile,IN,IN,2.0,1,0,ring,8.097240645333063,12.0,4.0,0.0,0.75,0.35,0.3,0.0,0.0,0.35,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,720.0,TXN20260000000
2026-07-31 13:16:00,CUST00875,stolen_626816888,411111,credit,dev_atk_39979,185.203.130.177,buyer384946@hotmail.com,hotmail.com,12238.9,electronics,web,RU,IN,2.0,1,1,stolen_card,9.412456386098302,13.0,4.0,0.0,0.75,0.55,0.45,1.0,1.0,0.35,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,720.0,TXN20260000001
2026-07-31 13:46:00,CUST00576,stolen_922816255,411111,credit,dev_atk_34365,185.37.239.228,buyer900460@rediffmail.com,rediffmail.com,66246.6,gift_cards,web,GB,IN,34.0,1,1,stolen_card,11.101154516777182,13.0,4.0,0.0,0.95,0.55,0.45,1.0,1.0,0.35,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,720.0,TXN20260000002
2026-07-31 14:12:00,CUST00641,stolen_71126486,434000,prepaid,dev_atk_10874,185.51.124.174,buyer823094@rediffmail.com,rediffmail.com,24905.77,jewellery,api,SG,IN,35.0,1,1,stolen_card,10.122894933048277,14.0,4.0,0.0,0.85,0.65,0.85,1.0,1.0,0.35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,720.0,TXN20260000003
2026-07-31 14:30:00,mule_356200,ring_798175380,508500,debit,dev_ring_66796,45.24.67.223,acct89769@guerrillamail.com,guerrillamail.com,3006.05,fashion,mobile,IN,IN,5.0,1,1,ring,8.008714810718596,14.0,4.0,0.0,0.4,0.35,0.3,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,720.0,TXN20260000004
2026-07-31 14:51:00,CUST00318,stolen_877677473,553000,prepaid,dev_atk_94978,185.94.182.120,buyer845481@hotmail.com,hotmail.com,11773.71,jewellery,api,CN,IN,34.0,1,0,stolen_card,9.373709290131227,14.0,4.0,0.0,0.85,0.65,0.85,1.0,1.0,0.35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,720.0,TXN20260000005
2026-07-31 15:16:00,CUST00766,tok_766_1,460000,credit,dev_00766,49.140.51.90,user766@outlook.com,outlook.com,1933.75,electronics,web,IN,IN,478.0,0,0,legit,7.567733398150568,15.0,4.0,0.0,0.75,0.55,0.45,0.0,0.0,0.35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,720.0,TXN20260000006
2026-07-31 15:30:00,CUST00754,stolen_55923969,553000,prepaid,dev_atk_05336,185.161.100.194,buyer101181@hotmail.com,hotmail.com,64581.78,gift_cards,web,US,IN,28.0,1,1,stolen_card,11.075703090768846,15.0,4.0,0.0,0.95,0.55,0.85,1.0,1.0,0.35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,720.0,TXN20260000007
2026-07-31 15:38:00,CUST00065,tok_65_0,402100,credit,dev_00065,49.234.161.161,user65@yahoo.com,yahoo.com,500.61,food_delivery,web,IN,IN,815.0,0,0,legit,6.217822925324135,15.0,4.0,0.0,0.2,0.55,0.45,0.0,0.0,0.35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,720.0,TXN20260000008
2026-07-31 16:00:00,CUST00476,tok_476_2,434000,prepaid,dev_00476,49.26.174.52,user476@gmail.com,gmail.com,729.07,gift_cards,mobile,IN,IN,3.0,0,0,legit,6.593140419956204,16.0,4.0,0.0,0.95,0.35,0.85,0.0,0.0,0.35,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,720.0,TXN20260000009
